,date,elev,unit,elevft
893,2015-06-13,1278.9121059999843,ft,4195.905859580001
894,2015-06-14,1278.915153999984,ft,4195.91585958
895,2015-06-15,1278.8785779999841,ft,4195.79585958
896,2015-06-16,1278.8968659999841,ft,4195.8558595800005
897,2015-06-17,1278.8846739999842,ft,4195.8158595800005
898,2015-06-18,1278.8785779999841,ft,4195.79585958
899,2015-06-19,1278.8877219999843,ft,4195.825859580001
900,2015-06-20,1278.8877219999843,ft,4195.825859580001
901,2015-06-21,1278.8755299999843,ft,4195.785859580001
902,2015-06-22,1278.8724819999843,ft,4195.7758595800005
903,2015-06-23,1278.866385999984,ft,4195.75585958
904,2015-06-24,1278.8633379999842,ft,4195.745859580001
905,2015-06-25,1278.854193999984,ft,4195.71585958
906,2015-06-26,1278.8480979999842,ft,4195.695859580001
907,2015-06-27,1278.8420019999842,ft,4195.67585958
908,2015-06-28,1278.8389539999841,ft,4195.66585958
909,2015-06-29,1278.826761999984,ft,4195.62585958
910,2015-06-30,1278.8389539999841,ft,4195.66585958
911,2015-07-01,1278.8176179999841,ft,4195.59585958
912,2015-07-02,1278.8206659999842,ft,4195.6058595800005
913,2015-07-03,1278.8176179999841,ft,4195.59585958
914,2015-07-04,1278.8054259999842,ft,4195.55585958
915,2015-07-05,1278.8023779999842,ft,4195.54585958
916,2015-07-06,1278.8115219999843,ft,4195.575859580001
917,2015-07-07,1278.790185999984,ft,4195.50585958
918,2015-07-08,1278.793233999984,ft,4195.51585958
919,2015-07-09,1278.753609999984,ft,4195.38585958
920,2015-07-10,1278.753609999984,ft,4195.38585958
921,2015-07-11,1278.762753999984,ft,4195.41585958
922,2015-07-12,1278.7718979999843,ft,4195.445859580001
923,2015-07-13,1278.7810419999842,ft,4195.47585958
924,2015-07-14,1278.7810419999842,ft,4195.47585958
925,2015-07-15,1278.753609999984,ft,4195.38585958
926,2015-07-16,1278.7444659999842,ft,4195.3558595800005
927,2015-07-17,1278.7444659999842,ft,4195.3558595800005
928,2015-07-18,1278.7322739999843,ft,4195.3158595800005
929,2015-07-19,1278.7292259999842,ft,4195.30585958
930,2015-07-20,1278.686553999984,ft,4195.16585958
931,2015-07-21,1278.7078899999842,ft,4195.235859580001
932,2015-07-22,1278.7048419999842,ft,4195.22585958
933,2015-07-23,1278.7200819999841,ft,4195.2758595800005
